
       1	   1	  62	 127	 204	 116
       1	   1	  63	 125	 202	 111
       1	   1	  58	 130	 203	 114
       1	   1	  59	 128	 206	 117
       1	   1	  57	 122	 213	 119
       1	   1	  57	 115	 222	 121
       1	   1	  56	 105	 226	 117
       1	   1	  59	 107	 218	 114
       1	   1	  57	 108	 213	 109
       1	   1	  61	 102	 209	 105
       1	   1	  62	 105	 206	 104
       1	   1	  65	  98	 203	 102
       1	   1	  58	  98	 209	 103
       1	   1	  64	  97	 205	 102
       1	   1	  63	 139	 204	 128
       1	   1	  71	 136	 198	 121
       1	   1	  74	 135	 192	 116
       1	   1	  75	 137	 190	 115
       1	   1	  71	 133	 197	 118
       1	   1	  66	 132	 204	 122
       1	   1	  68	 133	 206	 128
       1	   1	  66	 133	 205	 126
       1	   1	  65	 135	 204	 125
       1	   1	  76	 128	 199	 118
       1	   1	  78	 139	 184	 110
       1	   1	  80	 138	 182	 108
       1	   1	  84	 125	 189	 109
       1	   1	  87	 112	 190	 105
       1	   1	  69	 134	 206	 130
       1	   1	  58	 143	 206	 132
       1	   1	  59	 140	 206	 129
       1	   1	  56	 145	 203	 129
       1	   1	  58	 146	 202	 131
       1	   1	  52	 154	 199	 135
       1	   1	  49	 152	 201	 133
       1	   1	  55	 141	 207	 132
       1	   1	  63	 130	 208	 124
       1	   1	  63	 147	 192	 121
       1	   1	  67	 146	 187	 116
       1	   1	  70	 146	 186	 116
       1	   1	  81	 135	 186	 112
       1	   1	  76	 134	 189	 110
       1	   1	  72	 132	 198	 118
       1	   1	  66	 148	 191	 122
       1	   1	  70	 146	 190	 123
       1	   1	  74	 146	 186	 118
       1	   1	  72	 147	 185	 116
       1	   1	  68	 146	 187	 117
       1	   1	  70	 144	 187	 115
       1	   1	  78	 139	 184	 112
       1	   1	  84	 143	 178	 108
       1	   1	  85	 143	 176	 108
       1	   1	  81	 145	 178	 109
       1	   1	  76	 144	 182	 110
       1	   1	  78	 140	 182	 109
       1	   1	  77	 148	 178	 110
       1	   1	  67	 141	 189	 114
       1	   1	  64	 151	 187	 120
       1	   1	  66	 148	 189	 120
       1	   1	  78	 148	 182	 118
       1	   1	  68	 156	 182	 121
       1	   1	  60	 157	 186	 123
       1	   1	  69	 148	 187	 118
       1	   1	  75	 139	 184	 109
       1	   1	  78	 142	 182	 109
       1	   1	  77	 142	 182	 110
       1	   1	  78	 144	 179	 108
       1	   1	  80	 146	 177	 107
       1	   1	  86	 143	 175	 105
       1	   1	  83	 147	 174	 105
       1	   1	  78	 125	 194	 111
       1	   1	  71	 124	 196	 109
       1	   1	  78	 118	 195	 107
       1	   1	  85	 116	 193	 108
       1	   1	  79	 128	 191	 110
       1	   1	  81	 120	 194	 109
       1	   1	  79	 123	 194	 110
       1	   1	  78	 121	 193	 107
       1	   1	  80	 126	 192	 111
       1	   1	  84	 131	 185	 108
       1	   1	  95	 126	 177	 102
       1	   1	  97	 134	 171	 101
       1	   1	  92	 139	 172	 103
       1	   1	  92	 137	 172	 101
       1	   1	  78	 116	 197	 107
       1	   1	  84	 104	 192	 102
       1	   1	  84	 101	 184	  97
       1	   1	  88	 100	 187	  99
       1	   1	  75	 110	 194	 102
       1	   1	  66	 122	 200	 108
       1	   1	  65	 136	 198	 118
       1	   1	  68	 138	 197	 120
       1	   1	  64	 145	 189	 115
       1	   1	  77	 143	 181	 109
       1	   1	  86	 139	 176	 106
       1	   1	  90	 140	 172	 102
       1	   1	  85	 141	 176	 105
       1	   1	  77	 143	 179	 107
       2	   2	  89	 204	 139	 236
       2	   2	  68	 213	 143	 239
